   6.4718660838334968E-002 -0.44506485079311570        1.0000000000000000     
  0.34095045593870499       -1.0934623113068584       0.99999103370227915     
  0.83771557568055721       -2.0291094148038824       0.99994418815329633     
   1.5547868053548688       -3.2506360156645293       0.99980697185486989     
   2.4916902997458878       -4.7555926744057277       0.99950397434958660     
   3.6477925017540298       -6.5399720333499891       0.99893753227269999     
   5.0223087156415724       -8.5976423777021136       0.99798892295185904     
   6.6143051581612733       -10.919736453044177       0.99652031577919886     
   8.4226999966759095       -13.494048112376753       0.99437771986135715     
   10.446264218659021       -16.304503112713345       0.99139513175609051     
   12.683622519235639       -19.330779182161475       0.98739999558943414     
   15.133254258760379       -22.548148536815404       0.98221993349162129     
   17.793494507270402       -25.927599435859452       0.97569049677347575     
   20.662535181705330       -29.436262070780401       0.96766345884787708     
   23.738426277873543       -33.038123195166825       0.95801497119264811     
   27.019077197572269       -36.694972755751046       0.94665279361012566     
   30.502258170560307       -40.367494703821471       0.93352183676696354     
   34.185601770723899       -44.016400384393066       0.91860743091849106     
   38.066604525569730       -47.603507944332257       0.90193602723568755     
   42.142628618043140       -51.092691040584683       0.88357337849023820     
   46.410903679568079       -54.450647618779293       0.86362055403297544     
   50.868528673121631       -57.647467472748396       0.84220835719433906     
   55.512473865083138       -60.657000580053264       0.81949080370328498     
   60.339582884530188       -63.457044486951801       0.79563829604384162     
   65.346574868588661       -66.029378222143961       0.77083102377720492     
   70.530046692385795       -68.359673629275065       0.74525297459926987     
   75.886475282092363       -70.437314371385554       0.71908679088224547     
   81.412220009485168       -72.255149823335799       0.69250957548033987     
   87.103525166404211       -73.809206913277151       0.66568965009803405     
   92.956522517422826       -75.098378569756719       0.63878420140423220     
   98.967233928997885       -76.124103290753936       0.61193771045054135     
   105.13157407331269       -76.890046728756289       0.58528104345892218     
   111.44535320497620       -77.401793167247277       0.55893108004061809     
   117.90428000869052       -77.666552335749785       0.53299076263913170     
   124.50396451595255       -77.692885110720269       0.50754946401566614     
   131.23992108880682       -77.490450197232775       0.48268358478791845     
   138.10757146862207       -77.069772799086167       0.45845730836744358     
   145.10224788781926       -76.442035487736376       0.43492345492939205     
   152.21919624243611       -75.618890909062387       0.41212438869104850     
   159.45357932337211       -74.612295568609539       0.39009294355713736     
   166.80048010411812       -73.434363668475910       0.36885334112901269     
   174.25490508273501       -72.097239799310046       0.34842208231930771     
   181.81178767581105       -70.612989193492666       0.32880879957077969     
   189.46599166209060       -68.993504201022134       0.31001706117251154     
   197.21231467343412       -67.250425643199719       0.29204512261496685     
   205.04549173073571       -65.395077719953107       0.27488662252402440     
   212.96019882239673       -63.438415186326857       0.25853122263350542     
   220.95105652292116       -61.390981566276253       0.24296519263980770     
   229.01263364917523       -59.262877232990370       0.22817194174985639     
   237.13945095182484       -57.063736251306402       0.21413249938120588     
   245.32598483944241       -54.802710946980767       0.20082594787806843     
   253.56667113275213       -52.488463237988128       0.18822981033048095     
   261.85590884646143       -50.129161833371221       0.17632039667379701     
   270.18806399610872       -47.732484474573823       0.16507311123936302     
   278.55747342733980       -45.305624462030607       0.15446272485334486     
   286.95844866501022       -42.855300775581647       0.14446361446100978     
   295.38527977949747       -40.387771160665324       0.13504997310478245     
   303.83223926759547       -37.908847612997988       0.12619599291840802     
   312.29358594535330       -35.423913752332304       0.11787602362550878     
   320.76356885021193       -32.937943630790237       0.11006470885526551     
   329.23643114978802       -30.455521573062963       0.10273710241540254     
   337.70641405464670       -27.980862694367982        9.5868766496261248E-002
   346.16776073240453       -25.517833787432835        8.9435853621455202E-002
   354.61472022050253       -23.069974311896946        8.3415174011623683E-002
   363.04155133498978       -20.640517258393213        7.7784249888663934E-002
   371.44252657266020       -18.232409695210048        7.2521358118696630E-002
   379.81193600389128       -15.848332837949689        6.7605562472657588E-002
   388.14409115353857       -13.490721511990030        6.3016736673476625E-002
   396.43332886724789       -11.161782904014155        5.8735579297708618E-002
   404.67401516055764       -8.8635145224494796        5.4743621506659061E-002
   412.86054904817513       -6.5977213075575536        5.1023228496807897E-002
   420.98736635082469       -4.3660318502332593        4.7557595481058076E-002
   429.04894347707886       -2.1699136945275073        4.4330738940362907E-002
   437.03980117760329       -1.0687712640676568E-002   4.1327483819034450E-002
   444.95450826926429        2.1104584471735923        3.8533447275934218E-002
   452.78768532656585        4.1924578295134527        3.5935019547315657E-002
   460.53400833790937        6.2343525391158492        3.3519342424843661E-002
   468.18821232418890        8.2352829814602302        3.1274285803902450E-002
   475.74509491726502        10.194477946339642        2.9188422712341431E-002
   483.19951989588191        12.111245499980594        2.7251003188033477E-002
   490.54642067662786        13.984964648238838        2.5451927334763608E-002
   497.78080375756383        15.815077731309257        2.3781717849831192E-002
   504.89775211218080        17.601083509039558        2.2231492283152684E-002
   511.89242853137796        19.342530895306581        2.0792935256452465E-002
   518.76007891119320        21.039013299821711        1.9458270842206738E-002
   525.49603548404741        22.690163536136740        1.8220235275239638E-002
   532.09571999130947        24.295649255400949        1.7072050145192631E-002
   538.55464679502381        25.855168866528309        1.6007396195395384E-002
   544.86842592668734        27.368447904772676        1.5020387832889960E-002
   551.03276607100213        28.835235812261285        1.4105548435431964E-002
   557.04347748257715        30.255303095697009        1.3257786524123938E-002
   562.89647483359579        31.628438828227210        1.2472372854870234E-002
   568.58777999051483        32.954448464286386        1.1744918467989871E-002
   574.11352471790758        34.233151938101813        1.1071353723011592E-002
   579.46995330761422        35.464382018364866        1.0447908334819993E-002
   584.65342513141127        36.647982893441004        9.8710924178361577E-003
   589.66041711546984        37.783808963255069        9.3376785367217247E-003
   594.48752613491695        38.871723815736097        8.8446847550910316E-003
   599.13147132687834        39.911599367376311        8.3893586678283408E-003
   603.58909632043196        40.903315149063971        7.9691623977325276E-003
   607.85737138195680        41.846757719861863        7.5817585332771387E-003
   611.93339547443031        42.741820192869234        7.2249969811781761E-003
   615.81439822927609        43.588401858643337        6.8969027051418823E-003
   619.49774182943975        44.386407892944632        6.5956643205191080E-003
   622.98092280242781        45.135749136788490        6.3196235135651556E-003
   626.26157372212640        45.836341937880682        6.0672652535113513E-003
   629.33746481829462        46.488108043582457        5.8372087656350302E-003
   632.20650549272955        47.090974536545126        5.6281992339080340E-003
   634.86674574123958        47.644873805058126        5.4391002025466918E-003
   637.31637748076434        48.149743541090658        5.2688866468342792E-003
   639.55373578134095        48.605526759899234        5.1166386848850208E-003
   641.57730000332413        49.012171836142443        4.9815359035107502E-003
   643.38569484183870        49.369632552983177        4.8628522729723730E-003
   644.97769128435846        49.677868163663980        4.7599516270375192E-003
   646.35220749824600        49.936843473548514        4.6722836860798493E-003
   647.50830970025402        50.146528981133685        4.5993806009004858E-003
   648.44521319464513        50.306901264064564        4.5408539888684906E-003
   649.16228442431941        50.417944838784074        4.4963923958786945E-003
   649.65904954406130        50.479671538709930        4.4657588338430461E-003
